Time (s),Temp (C),RH (%), v (m/s),,,
3.96739745,23.5646667,58.9022713,3.82E-01,,,
3.97644377,23.5951233,58.9421043,3.75E-01,,,
3.98550844,23.6218567,58.9712372,3.66E-01,,,
3.99457455,23.6408081,58.9931717,3.55E-01,,,
4.00363493,23.6517334,59.0014992,3.42E-01,,,
4.01268005,23.6540527,58.9988632,3.28E-01,,,
4.02173042,23.6505737,58.9837914,3.16E-01,,,
4.03077412,23.6401672,58.9593582,3.07E-01,,,
4.03979969,23.6242676,58.9308624,3.00E-01,,,
4.0488286,23.6092834,58.9225235,2.95E-01,,,
4.05781889,23.5978699,58.9061623,2.92E-01,,,
4.06680584,23.5864868,58.8857231,2.90E-01,,,
4.07581854,23.5733643,58.8642998,2.89E-01,,,
4.08480501,23.5587769,58.8428307,2.94E-01,,,
4.09376812,23.5420837,58.826107,3.00E-01,,,
4.10273695,23.5258179,58.8094826,3.06E-01,,,
4.11168003,23.5096436,58.7929726,3.14E-01,,,
4.12061453,23.492981,58.7786369,3.22E-01,,,
4.12955666,23.4763489,58.7606239,3.33E-01,,,
4.13855553,23.4611511,58.738781,3.42E-01,,,
4.14758778,23.4476318,58.7210655,3.52E-01,,,
4.15658998,23.4382935,58.7048645,3.62E-01,,,
4.16556358,23.4343872,58.6993141,3.69E-01,,,
4.17453575,23.4360046,58.713459,3.77E-01,,,
4.18354321,23.4468689,58.7471313,3.84E-01,,,
4.19258833,23.472229,58.7937889,3.92E-01,,,
4.20160913,23.5111084,58.8591232,4.07E-01,,,
4.21062088,23.5633545,58.9366684,4.22E-01,,,
4.21961689,23.6204224,59.0186043,4.40E-01,,,
4.22854805,23.6799622,59.0970268,4.54E-01,,,
4.23749685,23.7372437,59.1939201,4.69E-01,,,
4.2464819,23.7955933,59.2483292,4.84E-01,,,
4.2554369,23.8450317,59.286808,4.95E-01,,,
4.26435947,23.8822327,59.3111763,5.03E-01,,,
4.27331972,23.9084473,59.321804,5.07E-01,,,
4.28228426,23.9247437,59.3229523,5.11E-01,,,
4.2912035,23.9332275,59.3169022,5.11E-01,,,
4.30013657,23.9385681,59.3023834,5.05E-01,,,
4.30910206,23.9405823,59.2885513,5.00E-01,,,
4.31803703,23.9387207,59.2712173,4.95E-01,,,
4.32698393,23.9303284,59.2656326,4.88E-01,,,
4.33598423,23.9110718,59.2991409,4.76E-01,,,
4.34499454,23.9036255,59.3010063,4.61E-01,,,
4.35397148,23.8847046,59.3250618,4.47E-01,,,
4.36296511,23.8669434,59.323246,4.35E-01,,,
4.37194777,23.8513794,59.2821121,4.24E-01,,,
4.38096285,23.8262329,59.258358,4.14E-01,,,
4.38999987,23.7995605,59.2357292,4.06E-01,,,
4.39906502,23.7710266,59.2146339,3.99E-01,,,
4.40812063,23.7420654,59.1895828,3.95E-01,,,
4.41716671,23.7159729,59.1633263,3.92E-01,,,
4.42619467,23.6936646,59.1414528,3.94E-01,,,
4.43519306,23.677002,59.1246681,3.94E-01,,,
4.4441824,23.6678467,59.115963,3.95E-01,,,
4.4531765,23.6638489,59.1168327,3.95E-01,,,
4.46215296,23.6656494,59.1223297,3.94E-01,,,
4.47109938,23.6744385,59.1382561,3.93E-01,,,
